554.01	552.23
492.52	496.08
549.48	551.78
535.46	536.05
525.51	530.56
537.63	540.15
525.11	527.1
516.32	515.8
538.46	549.43
518.41	519.8
584.6	586.17
528.73	536.57
514.88	514.49
523.15	520.04
549.19	548.93
514.39	518.68
545.62	549.49
536.93	542.0
528.99	528.27
566.97	568.16
515.24	519.1
513.87	517.14
503.67	505.67
525.13	526.92
528.39	525.86
565.33	568.0
528.73	529.55
547.67	550.68
564.91	564.82
529.55	531.9
540.63	537.0
518.71	518.73
522.89	518.81
522.62	527.96
552.85	554.62
519.94	523.63
555.56	555.33
515.05	517.83
527.57	529.43
543.53	548.24
519.27	521.51
526.67	526.68
500.05	501.47
534.95	537.51
479.78	480.72
540.31	543.7
541.43	547.21
523.22	523.35
522.27	523.54
493.96	497.25
550.17	552.78
520.87	521.31
572.82	575.25
522.57	522.4
530.87	529.91
528.32	529.59
535.08	539.16
519.23	523.19
534.45	536.22
532.6	534.91
499.28	500.45
550.53	552.0
530.77	531.72
507.71	508.3
562.17	568.29
524.28	528.83
568.11	576.82
540.86	540.14
480.33	482.58
537.23	537.44
535.23	534.34
554.91	554.45
530.64	529.74
513.46	514.12
534.15	533.16
483.37	485.99
551.78	549.51
529.7	536.88
510.19	513.62
528.48	529.65
543.43	544.49
570.97	569.97
573.38	579.18
536.63	534.57
524.45	526.63
508.97	512.17
532.07	535.18
546.29	550.3
535.82	535.34
519.14	523.2
559.13	559.58
537.36	536.54
580.16	578.1
526.3	527.48
563.65	569.48
535.23	535.14
547.02	547.6
526.52	523.94
519.12	521.76
512.11	515.84
